age,job,marital,education,balance,housing,loan,contact,campaign,deposit
58,student,divorced,tertiary,23223,yes,yes,cellular,1,no
43,retired,divorced,tertiary,33706,yes,yes,telephone,5,no
45,entrepreneur,single,secondary,483,yes,yes,telephone,1,no
19,blue-collar,single,secondary,25482,yes,yes,cellular,9,no
67,management,married,primary,32143,no,no,telephone,3,no
23,technician,divorced,secondary,22240,yes,no,telephone,2,no
26,blue-collar,divorced,tertiary,8015,yes,no,telephone,6,no
50,entrepreneur,single,tertiary,14628,yes,no,cellular,3,no
58,student,single,secondary,49500,yes,yes,telephone,5,yes
42,admin,divorced,primary,23443,yes,no,cellular,8,no
65,technician,married,tertiary,28819,no,yes,telephone,2,no
30,student,single,secondary,13060,no,yes,telephone,5,no
26,blue-collar,divorced,primary,25437,no,yes,cellular,8,no
30,admin,divorced,primary,47631,yes,yes,cellular,1,yes
48,technician,married,tertiary,8654,yes,yes,cellular,4,no
58,admin,married,tertiary,49087,no,no,cellular,5,no
28,admin,single,primary,12253,no,yes,telephone,3,no
21,technician,single,primary,9565,no,yes,cellular,2,no
51,technician,single,primary,25597,no,no,cellular,3,no
55,admin,divorced,secondary,25768,yes,no,telephone,5,yes
63,student,single,tertiary,-1913,yes,no,telephone,7,no
21,entrepreneur,divorced,primary,7432,yes,yes,telephone,2,no
55,retired,single,tertiary,6764,no,yes,cellular,7,no
36,technician,married,tertiary,-1822,no,yes,cellular,6,no
23,blue-collar,married,tertiary,24301,no,yes,telephone,7,no
51,services,divorced,primary,47314,yes,no,telephone,7,no
35,management,married,secondary,33408,yes,no,telephone,9,no
30,admin,divorced,primary,39965,no,no,cellular,7,yes
58,admin,divorced,tertiary,29913,yes,no,telephone,6,yes
40,management,married,primary,16732,no,no,cellular,8,no
36,retired,divorced,primary,421,no,no,cellular,7,no
62,management,married,tertiary,41715,no,yes,telephone,6,no
28,technician,single,tertiary,18526,yes,yes,cellular,4,no
18,management,single,primary,26317,no,no,cellular,7,yes
41,admin,married,primary,-783,no,no,cellular,8,no
24,management,married,primary,33242,yes,no,cellular,8,no
42,services,married,primary,-1071,no,no,cellular,4,no
38,blue-collar,married,secondary,38726,no,yes,cellular,9,no
32,technician,single,primary,32270,yes,yes,telephone,3,no
18,management,divorced,secondary,31188,no,yes,cellular,9,yes
29,admin,divorced,tertiary,11580,no,no,telephone,3,no
24,student,single,secondary,46608,no,no,cellular,7,no
32,blue-collar,divorced,tertiary,36598,yes,no,telephone,4,no
38,technician,single,secondary,28431,no,yes,telephone,5,no
36,admin,divorced,tertiary,18742,no,yes,telephone,3,no
46,retired,married,primary,15833,no,yes,cellular,2,no
42,services,married,secondary,28885,yes,no,cellular,8,no
50,entrepreneur,married,secondary,3811,yes,yes,cellular,7,no
66,retired,single,tertiary,6619,yes,yes,cellular,7,no
49,entrepreneur,single,tertiary,22255,no,no,cellular,8,no
66,services,divorced,secondary,22972,yes,yes,cellular,1,no
52,management,divorced,tertiary,11527,no,no,telephone,8,yes
61,technician,divorced,primary,46991,yes,no,cellular,5,no
55,management,single,secondary,30874,yes,no,cellular,8,no
43,services,divorced,primary,2049,yes,yes,cellular,9,yes
28,services,married,secondary,39057,yes,yes,telephone,2,no
52,services,divorced,primary,-97,no,no,telephone,3,yes
25,entrepreneur,married,secondary,42261,yes,yes,telephone,6,no
63,blue-collar,single,tertiary,3376,no,no,telephone,9,no
31,admin,married,secondary,-1958,no,yes,cellular,8,no
27,technician,married,primary,20769,no,no,cellular,6,no
19,management,married,secondary,-423,yes,no,telephone,5,no
63,management,single,primary,10382,yes,yes,telephone,3,no
26,retired,single,primary,20449,no,no,cellular,4,no
20,entrepreneur,single,primary,36653,yes,no,telephone,7,no
38,services,single,tertiary,26859,no,no,telephone,7,no
43,student,divorced,secondary,6576,yes,no,telephone,3,no
25,services,single,primary,43874,yes,no,telephone,4,no
65,services,married,tertiary,9663,no,yes,cellular,3,no
19,student,single,primary,34345,yes,yes,telephone,2,no
23,management,divorced,secondary,46910,no,no,cellular,6,no
45,retired,divorced,tertiary,3244,no,yes,telephone,7,no
46,admin,divorced,primary,32902,yes,no,telephone,4,no
43,student,married,primary,1892,yes,no,cellular,5,no
42,entrepreneur,single,primary,25112,yes,no,cellular,8,no
29,blue-collar,single,secondary,2321,no,no,telephone,9,yes
22,technician,single,tertiary,3776,yes,no,telephone,7,no
51,entrepreneur,married,tertiary,41352,yes,yes,telephone,1,yes
65,student,married,tertiary,14119,yes,yes,cellular,3,yes
54,admin,divorced,primary,28569,yes,yes,telephone,5,no
32,management,divorced,tertiary,36596,no,yes,telephone,3,yes
61,blue-collar,single,primary,31063,yes,yes,cellular,1,no
53,blue-collar,married,secondary,31181,no,yes,telephone,2,no
32,blue-collar,married,tertiary,20340,yes,no,telephone,8,no
60,services,single,primary,8187,yes,yes,telephone,7,yes
65,technician,single,tertiary,45084,yes,no,cellular,3,no
40,management,divorced,tertiary,4668,no,no,telephone,4,no
23,management,divorced,secondary,13344,no,yes,telephone,3,no
63,blue-collar,divorced,tertiary,6195,yes,yes,telephone,4,no
67,management,single,secondary,14561,no,no,telephone,8,no
61,technician,single,tertiary,35122,no,no,cellular,9,no
60,technician,divorced,tertiary,20298,yes,no,telephone,7,yes
62,retired,divorced,tertiary,36250,yes,no,telephone,9,no
38,student,married,tertiary,14076,yes,no,telephone,9,no
40,student,married,tertiary,13376,yes,yes,telephone,7,no
60,retired,divorced,tertiary,34039,yes,yes,cellular,7,no
33,admin,divorced,secondary,41442,yes,no,telephone,8,no
64,student,married,secondary,3392,no,no,telephone,3,no
32,technician,divorced,primary,47441,yes,no,cellular,8,no
42,technician,married,tertiary,25106,yes,no,telephone,1,no
53,student,married,secondary,12309,yes,no,cellular,6,no
28,technician,married,tertiary,22809,yes,no,telephone,2,yes
68,retired,single,tertiary,47559,no,no,cellular,7,no
32,blue-collar,single,secondary,-1307,no,no,cellular,3,no
21,blue-collar,divorced,tertiary,31937,no,yes,telephone,5,yes
38,management,married,secondary,27233,yes,no,cellular,2,yes
30,entrepreneur,single,secondary,6623,yes,no,cellular,1,no
39,entrepreneur,divorced,primary,38550,no,yes,telephone,5,no
36,blue-collar,divorced,primary,44624,no,no,telephone,9,yes
51,services,divorced,primary,7174,yes,no,telephone,9,no
31,retired,divorced,primary,9352,yes,no,telephone,7,no
21,technician,divorced,tertiary,3530,yes,no,telephone,9,yes
65,student,married,tertiary,2992,yes,yes,telephone,4,no
69,blue-collar,divorced,primary,21354,yes,no,telephone,3,no
63,retired,married,secondary,1312,no,no,telephone,4,no
44,blue-collar,single,secondary,43833,yes,no,telephone,7,no
46,admin,divorced,secondary,2318,no,yes,cellular,8,yes
64,technician,single,secondary,44827,yes,no,cellular,2,no
45,admin,married,tertiary,32456,no,no,cellular,5,no
52,technician,married,secondary,-1533,no,yes,cellular,5,no
25,retired,single,secondary,25192,no,yes,cellular,9,yes
33,management,divorced,primary,40305,yes,yes,cellular,3,no
59,blue-collar,divorced,secondary,33190,yes,yes,cellular,6,no
53,blue-collar,single,tertiary,21663,yes,no,telephone,5,no
47,services,single,secondary,29246,no,yes,cellular,2,no
35,student,single,secondary,45372,no,yes,cellular,2,no
19,admin,divorced,tertiary,35489,yes,yes,cellular,4,yes
66,blue-collar,divorced,primary,39971,no,no,cellular,4,no
30,retired,divorced,tertiary,38309,no,yes,cellular,7,no
21,management,single,primary,40637,no,no,telephone,1,yes
43,student,divorced,secondary,26273,no,no,cellular,6,no
42,retired,married,primary,45553,yes,yes,cellular,9,no
47,admin,single,primary,27473,no,no,telephone,2,no
28,services,divorced,primary,11679,yes,yes,cellular,5,yes
24,blue-collar,single,secondary,25445,no,yes,telephone,4,no
48,retired,married,primary,43310,no,no,telephone,4,no
61,student,married,primary,15870,yes,no,telephone,8,no
27,technician,single,secondary,45229,no,no,cellular,6,yes
56,management,single,tertiary,23992,yes,no,cellular,7,no
30,student,married,tertiary,27433,yes,yes,telephone,9,no
48,retired,single,tertiary,9038,yes,no,cellular,3,yes
24,management,married,secondary,23933,yes,no,cellular,2,no
66,blue-collar,married,secondary,43020,yes,no,telephone,3,no
59,technician,divorced,tertiary,27236,yes,no,telephone,8,no
59,services,single,primary,7770,yes,yes,cellular,9,no
53,student,single,tertiary,1749,no,yes,telephone,5,no
37,services,divorced,secondary,42585,yes,no,telephone,8,no
21,technician,married,primary,33271,no,no,cellular,7,no
24,management,single,primary,5855,no,yes,cellular,9,no
18,blue-collar,divorced,secondary,44146,no,yes,telephone,4,no
61,retired,divorced,primary,42097,yes,yes,cellular,3,no
62,technician,single,tertiary,21439,yes,yes,cellular,9,no
59,admin,divorced,secondary,28290,no,no,cellular,8,yes
64,management,married,secondary,9101,yes,no,cellular,7,no
30,services,divorced,secondary,25240,no,yes,cellular,1,no
39,student,married,secondary,14783,no,yes,cellular,2,no
38,technician,married,primary,42917,no,no,telephone,9,no
39,services,single,secondary,24809,yes,no,telephone,5,no
45,management,divorced,secondary,45387,no,yes,telephone,1,no
26,services,married,primary,15923,yes,no,telephone,9,no
43,technician,married,secondary,45753,no,yes,telephone,1,no
26,management,divorced,primary,13026,yes,no,cellular,8,no
32,admin,married,primary,39196,no,no,cellular,5,no
27,technician,divorced,secondary,21569,yes,yes,telephone,6,no
41,retired,single,tertiary,39887,no,no,cellular,1,yes
59,entrepreneur,married,secondary,18893,yes,yes,telephone,2,no
25,blue-collar,married,tertiary,20435,yes,no,cellular,7,no
41,technician,divorced,primary,34892,yes,yes,telephone,2,no
33,management,divorced,tertiary,30399,no,yes,cellular,5,yes
66,student,divorced,secondary,49547,no,yes,telephone,9,no
43,blue-collar,divorced,secondary,23236,no,no,cellular,5,no
44,technician,married,tertiary,25199,yes,yes,telephone,3,yes
54,admin,single,secondary,18334,yes,yes,cellular,6,no
21,student,single,tertiary,47143,no,no,cellular,7,yes
67,admin,single,primary,31217,no,no,telephone,8,yes
41,retired,single,tertiary,47531,yes,yes,telephone,3,no
36,student,divorced,tertiary,13034,no,yes,telephone,4,no
53,services,married,tertiary,29085,yes,no,telephone,4,no
56,entrepreneur,married,tertiary,7442,yes,no,telephone,2,no
27,student,married,primary,10643,yes,no,telephone,7,no
42,blue-collar,divorced,primary,33069,no,yes,telephone,4,no
35,student,married,primary,5710,yes,no,telephone,4,no
36,management,divorced,tertiary,36560,no,yes,cellular,8,no
53,entrepreneur,married,primary,40427,yes,yes,cellular,6,no
27,management,single,secondary,5216,no,yes,cellular,6,no
50,services,divorced,primary,9712,no,no,cellular,9,no
67,student,married,tertiary,2905,yes,no,telephone,4,yes
22,admin,single,secondary,46534,yes,no,cellular,9,yes
64,admin,single,tertiary,36767,yes,yes,cellular,1,no
66,technician,single,secondary,25930,yes,yes,telephone,9,yes
52,retired,divorced,tertiary,29192,no,no,cellular,1,no
61,blue-collar,divorced,tertiary,21506,no,no,telephone,7,no
51,entrepreneur,married,secondary,47751,no,yes,cellular,6,yes
50,retired,single,primary,5288,no,yes,cellular,7,no
38,student,married,secondary,42034,no,yes,telephone,9,no
34,retired,married,secondary,28011,yes,yes,telephone,4,yes
39,technician,single,secondary,13586,yes,no,cellular,9,yes
65,retired,married,secondary,30400,no,yes,cellular,3,yes
54,entrepreneur,divorced,secondary,-433,yes,yes,cellular,9,no
32,services,married,tertiary,45878,yes,no,telephone,1,no
52,technician,single,tertiary,46850,yes,no,telephone,5,no
45,services,divorced,primary,-906,yes,no,telephone,5,no
24,student,divorced,primary,9135,yes,no,telephone,1,no
49,technician,married,secondary,11508,yes,yes,telephone,1,no
28,student,married,primary,43113,no,yes,telephone,3,yes
27,student,divorced,primary,7684,yes,yes,cellular,9,no
26,retired,married,secondary,25247,yes,yes,telephone,7,no
31,services,single,tertiary,4191,no,yes,telephone,6,no
30,student,married,tertiary,15842,no,no,cellular,9,no
42,services,married,primary,6046,no,no,cellular,4,yes
19,services,divorced,tertiary,2934,yes,yes,telephone,4,no
52,technician,married,tertiary,44806,no,no,telephone,3,yes
24,management,married,primary,-646,yes,yes,telephone,5,yes
38,retired,married,secondary,37241,no,yes,telephone,5,no
35,student,single,primary,27816,yes,yes,cellular,7,no
20,services,married,primary,43562,yes,yes,cellular,7,no
59,blue-collar,single,primary,963,no,yes,cellular,6,no
56,management,single,secondary,25424,yes,no,telephone,4,no
58,student,single,secondary,12503,yes,no,cellular,7,no
66,blue-collar,single,secondary,1042,yes,yes,telephone,2,no
28,retired,divorced,secondary,28241,yes,yes,cellular,9,yes
56,retired,single,primary,37741,no,no,telephone,7,no
41,services,married,tertiary,5139,no,yes,telephone,2,no
63,services,single,primary,9226,no,yes,cellular,2,no
36,entrepreneur,married,secondary,37698,yes,yes,cellular,6,no
21,entrepreneur,single,tertiary,12762,no,no,telephone,7,yes
43,student,divorced,primary,16116,no,yes,cellular,9,no
55,technician,single,tertiary,36108,yes,yes,telephone,4,no
59,management,single,secondary,3111,no,no,telephone,8,no
49,student,divorced,tertiary,1081,no,yes,cellular,2,no
56,management,single,tertiary,27815,no,yes,cellular,6,no
62,services,married,secondary,5802,yes,no,telephone,4,no
63,retired,single,tertiary,40230,no,no,telephone,8,no
53,services,single,primary,46348,no,yes,telephone,9,no
57,retired,single,tertiary,15913,no,no,telephone,2,no
54,entrepreneur,divorced,primary,15465,yes,yes,telephone,7,no
50,student,single,tertiary,5994,yes,yes,telephone,7,no
53,entrepreneur,single,tertiary,1531,no,no,cellular,8,no
20,retired,married,secondary,7343,no,yes,cellular,5,no
26,services,single,secondary,31484,no,no,cellular,3,yes
25,entrepreneur,single,primary,4229,yes,no,telephone,1,no
50,admin,single,secondary,26775,yes,no,telephone,4,no
23,management,single,secondary,24766,no,yes,cellular,3,no
58,blue-collar,married,secondary,14588,no,no,cellular,2,no
56,retired,married,secondary,21168,yes,yes,cellular,6,no
21,retired,divorced,secondary,42789,yes,no,telephone,7,no
30,admin,single,primary,42069,no,no,telephone,7,no
66,student,divorced,primary,34862,yes,yes,telephone,8,no
19,student,divorced,secondary,19866,no,yes,cellular,2,no
22,student,single,secondary,7524,no,no,cellular,6,no
61,blue-collar,married,primary,20538,yes,yes,cellular,6,no
44,technician,married,tertiary,40809,no,yes,telephone,1,no
49,admin,single,primary,19226,no,no,cellular,2,no
38,blue-collar,single,tertiary,6103,no,no,cellular,9,no
25,entrepreneur,married,secondary,16402,no,yes,telephone,8,no
55,admin,single,secondary,13090,no,no,telephone,4,no
25,retired,single,primary,13915,no,no,cellular,6,no
67,management,single,secondary,39477,no,no,telephone,2,no
20,admin,married,tertiary,32206,yes,yes,cellular,5,no
61,technician,divorced,tertiary,19511,yes,yes,telephone,2,no
20,services,divorced,primary,49204,no,yes,telephone,5,no
39,entrepreneur,single,tertiary,13029,yes,no,telephone,7,yes
23,blue-collar,married,primary,28831,no,yes,telephone,7,no
19,entrepreneur,single,primary,21531,no,no,telephone,9,no
40,entrepreneur,married,tertiary,2517,yes,no,telephone,3,no
61,admin,single,tertiary,49464,no,no,cellular,4,no
19,admin,married,tertiary,19961,no,no,cellular,9,no
55,technician,married,tertiary,24835,yes,yes,cellular,8,yes
34,management,divorced,tertiary,25725,yes,no,telephone,7,no
52,admin,single,tertiary,23357,yes,no,telephone,8,no
51,admin,divorced,tertiary,41673,yes,yes,cellular,9,yes
40,management,divorced,secondary,-756,yes,no,cellular,4,no
47,technician,married,primary,416,yes,yes,cellular,5,no
69,blue-collar,single,primary,46061,no,yes,telephone,9,yes
25,entrepreneur,married,tertiary,4490,yes,yes,cellular,7,yes
39,blue-collar,married,primary,9683,yes,no,cellular,4,no
61,admin,married,tertiary,3839,no,yes,cellular,6,no
53,management,single,secondary,22992,no,no,cellular,1,no
22,admin,single,primary,45618,yes,yes,telephone,1,no
30,student,married,primary,42938,no,yes,cellular,9,yes
46,services,single,secondary,42735,no,yes,cellular,8,yes
48,blue-collar,married,secondary,35777,no,yes,telephone,1,no
64,student,single,secondary,48734,no,no,telephone,2,no
33,retired,single,primary,45080,no,no,telephone,4,no
59,services,divorced,primary,6924,no,yes,telephone,1,no
47,admin,married,secondary,13921,no,yes,telephone,2,no
33,technician,divorced,secondary,22260,yes,yes,cellular,5,yes
29,blue-collar,divorced,secondary,26380,no,no,cellular,8,no
34,retired,married,secondary,16811,yes,yes,cellular,6,no
33,services,married,secondary,3721,no,yes,telephone,6,no
29,blue-collar,single,tertiary,39191,no,no,cellular,4,no
25,management,married,secondary,2930,yes,yes,telephone,2,no
37,technician,divorced,tertiary,2353,no,yes,telephone,3,no
20,services,divorced,primary,5832,no,yes,cellular,6,no
33,management,married,primary,47554,yes,yes,telephone,6,yes
47,student,divorced,tertiary,20951,no,no,cellular,5,no
62,admin,single,secondary,47216,no,no,telephone,6,no
40,management,divorced,primary,49389,yes,no,cellular,6,no
45,services,single,secondary,5770,yes,yes,telephone,1,no
68,entrepreneur,divorced,secondary,23525,no,yes,telephone,6,yes
57,services,single,tertiary,14556,yes,no,telephone,5,yes
22,entrepreneur,single,primary,13094,no,yes,cellular,8,no
37,student,married,primary,5935,no,yes,telephone,9,no
57,admin,single,tertiary,675,yes,no,cellular,6,yes
61,entrepreneur,married,secondary,29280,yes,no,telephone,4,yes
18,entrepreneur,divorced,secondary,9240,yes,yes,cellular,3,no
47,management,divorced,primary,2005,yes,no,telephone,1,no
38,management,divorced,tertiary,4544,no,yes,cellular,7,no
37,admin,single,tertiary,15332,yes,no,telephone,5,no
23,management,divorced,secondary,24836,yes,no,telephone,4,no
39,blue-collar,divorced,secondary,12388,no,yes,telephone,9,no
35,admin,married,tertiary,45727,no,yes,cellular,7,no
25,technician,married,primary,-306,no,no,telephone,8,no
56,entrepreneur,divorced,secondary,19141,no,yes,telephone,4,no
49,services,divorced,tertiary,20666,no,yes,telephone,8,no
50,technician,single,tertiary,45521,no,yes,cellular,4,no
33,entrepreneur,single,tertiary,47294,no,no,telephone,1,no
29,blue-collar,divorced,primary,36769,no,yes,cellular,8,no
55,entrepreneur,married,secondary,37420,no,yes,cellular,1,no
69,entrepreneur,divorced,secondary,45753,yes,no,telephone,3,no
51,entrepreneur,single,secondary,35349,yes,no,telephone,7,no
31,student,married,primary,35855,no,no,cellular,3,no
53,blue-collar,married,secondary,-540,yes,no,cellular,8,yes
50,retired,single,secondary,34655,no,yes,telephone,5,no
40,retired,divorced,secondary,45646,no,yes,cellular,3,no
67,retired,divorced,secondary,39252,no,no,cellular,5,no
62,admin,divorced,primary,7835,no,no,telephone,5,no
19,management,single,tertiary,46411,yes,yes,telephone,8,yes
58,blue-collar,married,tertiary,8910,yes,yes,cellular,9,yes
38,technician,single,secondary,15221,no,no,cellular,6,yes
19,student,divorced,secondary,23613,yes,yes,telephone,3,no
44,technician,single,secondary,29353,yes,yes,cellular,2,no
26,technician,married,primary,36614,no,no,cellular,3,no
18,technician,single,secondary,6463,no,no,telephone,9,no
28,student,divorced,primary,11336,yes,no,cellular,7,no
20,retired,married,secondary,24534,yes,no,cellular,9,no
69,technician,single,secondary,369,no,yes,cellular,6,yes
40,student,single,tertiary,23381,no,no,cellular,8,no
43,student,married,secondary,44760,yes,yes,telephone,9,yes
21,management,married,primary,17558,no,yes,cellular,3,no
35,student,divorced,tertiary,20369,no,yes,cellular,7,no
23,retired,married,primary,31650,no,no,telephone,9,no
52,technician,divorced,tertiary,28954,yes,yes,cellular,2,yes
39,student,single,primary,23407,yes,no,cellular,7,no
60,admin,divorced,tertiary,33939,no,no,telephone,5,no
32,student,single,primary,24767,yes,no,cellular,8,no
39,services,married,primary,40,no,yes,cellular,4,no
54,services,single,secondary,21116,yes,no,cellular,1,yes
69,services,married,tertiary,24170,yes,no,cellular,8,no
59,student,single,tertiary,4372,yes,yes,cellular,6,no
29,retired,single,secondary,20369,no,no,cellular,8,no
64,technician,single,primary,5562,no,yes,cellular,3,no
66,blue-collar,single,primary,42544,no,yes,telephone,8,yes
59,blue-collar,divorced,tertiary,3900,yes,no,telephone,8,no
55,blue-collar,single,primary,38733,no,no,telephone,1,no
35,retired,divorced,tertiary,19700,no,no,cellular,4,no
62,management,married,tertiary,39233,no,no,telephone,7,no
52,entrepreneur,married,primary,-1411,no,yes,telephone,1,no
47,admin,divorced,primary,3063,yes,no,telephone,3,no
41,admin,married,primary,18017,no,no,telephone,3,no
59,services,married,secondary,16374,no,yes,cellular,6,no
47,services,single,tertiary,20899,yes,no,cellular,5,no
31,student,single,primary,47008,no,no,cellular,7,no
23,blue-collar,single,secondary,-742,yes,no,telephone,3,no
20,student,divorced,primary,11598,yes,no,cellular,1,no
33,entrepreneur,divorced,tertiary,866,yes,no,telephone,3,no
24,blue-collar,married,secondary,47723,no,yes,cellular,8,yes
69,services,single,tertiary,39504,yes,no,cellular,5,yes
31,technician,divorced,primary,28132,yes,yes,telephone,3,yes
26,management,divorced,primary,27404,yes,yes,telephone,8,no
32,student,single,primary,43472,no,yes,cellular,6,no
38,management,divorced,secondary,-1363,yes,yes,cellular,3,no
52,management,single,secondary,22616,yes,no,cellular,5,no
19,management,married,secondary,35650,yes,no,telephone,1,no
44,services,married,secondary,13828,no,yes,telephone,6,no
19,admin,married,primary,24196,yes,no,telephone,9,no
52,services,single,primary,34440,yes,no,telephone,7,yes
35,management,divorced,primary,43097,no,yes,cellular,8,no
31,services,married,secondary,45735,no,no,telephone,6,no
37,management,married,secondary,30022,no,yes,telephone,5,no
35,retired,married,primary,30202,yes,yes,telephone,6,no
27,blue-collar,divorced,primary,26704,yes,no,cellular,7,yes
42,admin,divorced,secondary,23875,yes,no,cellular,9,no
19,retired,single,tertiary,21641,yes,no,telephone,8,no
42,technician,married,primary,35479,no,yes,telephone,5,no
50,services,divorced,primary,11235,yes,yes,cellular,7,no
53,technician,single,primary,20027,no,no,cellular,8,no
48,student,married,secondary,30927,yes,yes,telephone,1,no
31,services,divorced,primary,40912,yes,no,cellular,8,no
18,entrepreneur,divorced,primary,45561,yes,no,telephone,7,no
63,entrepreneur,single,primary,40691,no,no,cellular,2,yes
33,blue-collar,married,primary,25022,no,no,telephone,2,no
63,retired,married,primary,3938,no,yes,telephone,6,no
69,blue-collar,divorced,tertiary,42122,no,no,telephone,3,no
20,student,married,tertiary,40692,yes,yes,telephone,1,no
52,management,single,primary,31348,yes,yes,cellular,8,no
58,blue-collar,divorced,primary,30209,yes,yes,cellular,7,no
23,blue-collar,divorced,primary,35242,yes,yes,telephone,4,no
42,entrepreneur,single,primary,7941,yes,yes,cellular,1,no
30,management,divorced,secondary,5073,no,yes,telephone,2,no
51,entrepreneur,married,secondary,40430,no,no,cellular,9,no
25,services,married,secondary,35827,yes,yes,telephone,4,yes
38,management,divorced,tertiary,44225,yes,no,cellular,3,no
51,retired,single,primary,35096,yes,yes,cellular,8,yes
21,blue-collar,single,secondary,48546,yes,no,cellular,4,no
42,entrepreneur,married,primary,-1079,no,no,cellular,7,yes
32,management,single,primary,773,yes,yes,telephone,5,no
21,student,divorced,tertiary,2462,yes,no,telephone,5,yes
62,student,divorced,tertiary,18960,yes,no,cellular,6,no
29,blue-collar,married,secondary,28268,yes,yes,cellular,4,no
49,retired,married,secondary,17818,no,yes,cellular,2,yes
49,technician,married,tertiary,37501,yes,yes,cellular,6,no
45,entrepreneur,single,tertiary,42542,no,yes,telephone,5,no
30,retired,divorced,primary,40078,no,yes,cellular,3,no
48,admin,divorced,primary,-135,yes,yes,cellular,4,no
31,admin,divorced,secondary,28706,yes,yes,cellular,3,no
37,admin,married,secondary,26887,yes,yes,cellular,3,no
35,blue-collar,divorced,tertiary,47876,yes,no,cellular,4,no
46,student,single,secondary,28511,yes,yes,cellular,2,no
23,services,single,primary,31479,no,no,cellular,4,no
49,entrepreneur,divorced,tertiary,38478,no,yes,cellular,2,no
46,student,married,primary,24401,no,yes,telephone,8,yes
60,services,divorced,tertiary,26502,no,yes,cellular,5,no
19,services,single,tertiary,44214,no,yes,cellular,7,no
40,student,single,primary,11394,yes,no,cellular,4,no
36,entrepreneur,single,secondary,31158,yes,no,cellular,6,no
48,blue-collar,divorced,secondary,7262,no,yes,telephone,4,no
68,retired,single,secondary,2487,yes,no,cellular,6,no
22,services,married,secondary,25341,yes,yes,telephone,1,yes
36,technician,divorced,primary,41388,no,no,telephone,6,no
51,student,divorced,tertiary,11570,no,yes,telephone,6,yes
27,student,single,primary,27605,no,no,telephone,2,no
42,admin,single,secondary,4066,yes,no,cellular,9,no
19,retired,married,secondary,35262,no,no,telephone,6,no
28,admin,divorced,primary,24723,no,yes,telephone,7,yes
67,student,single,tertiary,1572,yes,no,cellular,2,no
48,student,married,primary,10670,yes,yes,telephone,2,no
32,services,single,primary,25839,no,no,telephone,2,no
26,retired,divorced,primary,46707,yes,yes,telephone,9,no
40,management,single,tertiary,47028,no,yes,telephone,3,no
36,technician,divorced,primary,26401,yes,yes,cellular,4,no
26,entrepreneur,single,primary,8249,no,no,telephone,1,no
52,services,divorced,secondary,311,yes,no,cellular,1,no
38,student,married,primary,30011,yes,yes,cellular,4,no
26,entrepreneur,divorced,secondary,41839,yes,yes,cellular,2,no
45,services,married,secondary,37541,no,yes,telephone,8,no
63,technician,divorced,secondary,37673,no,no,telephone,4,no
68,student,married,tertiary,1642,no,no,cellular,3,yes
24,technician,single,secondary,4338,yes,no,cellular,3,yes
33,entrepreneur,divorced,primary,47114,yes,no,cellular,6,no
33,management,single,primary,49761,yes,no,cellular,6,yes
50,services,married,secondary,7622,no,yes,cellular,6,yes
21,blue-collar,divorced,secondary,46423,yes,yes,cellular,6,no
21,services,divorced,primary,40873,no,yes,telephone,8,no
56,admin,single,secondary,37008,no,yes,telephone,8,no
57,retired,divorced,tertiary,45565,no,no,telephone,9,no
34,retired,divorced,secondary,5806,no,no,cellular,1,no
54,admin,single,tertiary,-1243,no,yes,telephone,8,no
56,student,divorced,tertiary,24710,yes,no,cellular,5,no
69,retired,single,tertiary,19470,yes,yes,cellular,3,no
46,technician,single,secondary,4220,yes,no,telephone,3,no
69,entrepreneur,single,tertiary,40872,yes,no,cellular,6,no
53,entrepreneur,single,tertiary,24315,yes,yes,telephone,8,no
55,retired,single,secondary,25793,yes,yes,telephone,2,no
56,retired,married,tertiary,12316,no,yes,telephone,9,no
67,admin,married,secondary,40094,yes,no,cellular,5,no
54,student,single,primary,20505,no,no,cellular,5,no
69,management,married,tertiary,26288,no,no,cellular,1,no
52,retired,married,secondary,6956,no,yes,telephone,6,no
24,blue-collar,divorced,primary,17109,no,yes,cellular,5,no
44,retired,single,tertiary,1497,no,yes,telephone,7,yes
45,management,married,tertiary,7864,yes,no,cellular,7,no
39,admin,divorced,secondary,29510,yes,no,telephone,4,no
31,management,divorced,primary,25981,yes,yes,telephone,5,yes
24,admin,single,secondary,20026,no,yes,cellular,8,no
54,technician,single,tertiary,6774,yes,yes,cellular,2,yes
39,admin,divorced,tertiary,44807,yes,no,telephone,1,no
22,technician,single,tertiary,19017,no,no,telephone,6,no
19,technician,single,tertiary,-179,no,yes,cellular,4,yes
44,admin,divorced,primary,48337,yes,yes,telephone,3,no
38,blue-collar,divorced,primary,43485,no,yes,cellular,7,no
55,services,single,secondary,16021,no,no,cellular,8,no
32,admin,married,secondary,8372,no,no,telephone,4,no
38,retired,single,secondary,39148,yes,no,cellular,6,no
27,blue-collar,married,tertiary,32514,no,yes,telephone,2,yes
40,blue-collar,divorced,secondary,26402,no,yes,cellular,8,no
56,retired,married,primary,3797,no,yes,telephone,6,no
22,services,divorced,secondary,14283,no,yes,cellular,9,yes
18,blue-collar,single,secondary,38857,no,yes,cellular,6,no
30,technician,single,primary,49772,yes,yes,telephone,6,no
38,entrepreneur,divorced,primary,42905,yes,yes,cellular,2,yes
43,services,divorced,tertiary,5597,no,yes,telephone,5,no
67,student,divorced,primary,28320,no,yes,telephone,9,no
62,retired,single,primary,29261,yes,yes,telephone,1,no
